"Username","Content","Date","Rating","Source","Engagement"
"Timo","I posted a one star review recently because I had only received part of my order and my emails kept being ignored. After my review I was contacted right away by someone from fanatics providing me with a different email address to contact. When I got in touch with them they sorted the order the next day and I since then received the missing items. They were very apologetic and also gave me a 25% discount voucher. I don't know yet whether I will use them again but they tried very hard to make things right and made them right now so I'm appreciative of that.",2023-10-01,3,"Trust Pilot",NA
"Angela Escalona","Ordered a large women’s sweatshirt, paid $54 dollars for it, took almost 2 weeks to get it, received it and it looks like a kids large! It’s short like a crop top and that is not the description of the product.. I start the return process and find out that I will be charged $9.99 if I want the return to go back onto my original form of payment! Or I can get a full refund if I choose to get the refund in form of store credit!! Never have I been charged for returning a product I’m not happy with! So long story short, DO NOT ORDER FROM HERE BECAUSE IF YOU HAVE TO RETURN THE PRODUCT YOU WILL BE CHARGED $10",2023-10-11,1,"Trust Pilot",NA
"Art","Terrible place do not buy from these ppl.  I bought a jersey that was cut incorrectly, felt like i had a shirt on backwards. I called customer service, the rep took it upon himself to tell me to order better quality items, I told him :umm this is the expensive one"" then they charge me 9 dollars to return an item that is defective, called back after that rep also took it upon himself to give me a gift card instead of a refund, I called back and was hung up on after 2 min. then i called back asking for a supervisor whos first language was english and after asking 4 times she put me on a long hold.  ame back and said they are busying on a ""case"".  she said there's been a refund placed but im not sending anything back until i see it in my account.  never ordering from this dump again!",2023-10-06,1,"Trust Pilot",NA
"Aiden Broadbent","I'm disappointed I cannot give 0 stars.Spent over £100 on items that are not as advertised, extremely poor quality and in all honesty, fake looking.Already contacted customer services to request a full refund. Extremely disappointed.",2023-10-13,1,"Trust Pilot",NA
"Graham S","I have been waiting for my Jason Kelce Jersey for over three weeks as a present for my partner, after being a week late on the delivery.  Once I received it, I found that the arms were damaged.  After speaking with the customer support team, they could not guarantee when i would recieve a replacement and would only compensate me the price of the shipping for the original item.VERY POOR.",2023-09-30,1,"Trust Pilot",NA
"Andy","If I could give a minus score I would. Terrible experience from start to finish. Ordered my boys birthday present on the 1st of august, kept getting promised it would be there by the 17th august but nothing arrived. I had to keep contacting them regarding order. Finally lost my patience on the 22nd September and asked for a refund. Promise the world deliver nothing.",2023-09-24,1,"Trust Pilot",NA
"Caolan Arkinson","Well this company is a joke!!! The customer service is shocking thanks for nothing leslie, Lara, monqiue for all ignoring the chat that was a great help!!! It really made me feel like a valued customer. Especially after an automatic apology email saying sorry about the delay and il get 10 pound back.....which i still havent recieved. And 25% discount code........it's laughable, as if I'm going to use this company again. I wouldn't use it again if it was 90% discount code. The delivery is horrendous. I order a jersey on the 30aug and It still hasn't be processed or shipped. Where is it? Its been 25 business days.",2023-10-03,1,"Trust Pilot",NA
"Alexander Bull","I recently received my clothing from this store, and the clothes are really good quality. I don’t know why most of these reviewers are leaving bad reviews, as this company is really good. I find the trousers from here to be oversize, but the quality of them are still good. I would definitely shop from here again.",2023-10-08,5,"Trust Pilot",NA
"harry","70 quid down the drain, ordered kids size 11 to 12 also estimated 2 weeks delivery time but it came in 2 weeks after proposed delivery time and came in large mens size",2023-10-13,1,"Trust Pilot",NA
"Jeremiah Yang","If I could give them a 0, it would be negative 10. Placed eagles jersey order 9/27 and received confirmation email saying it would ship by 10/2. It’s now 10/8 and still says it’s “processing”. Was finally able to get in touch with someone through their fb chat and they told me they could not provide me any updates. I had to attend the game without a jersey. Stay away from this scam of a retailer",2023-10-08,1,"Trust Pilot",NA
"Gordon Jack","I ordered an NFL top on September 23rd 2023 and received an email from Fanatics saying it would be delivered by the 3rd of October. I have checked my order several times but my order still shows processing. On 4th October I called the UK customer service number which was answered by customer service somewhere in mainland Europe. They could see my order but said it had not yet shipped and could not tell me anything else. I asked for the order to be cancelled as it had not shipped and was told they were unable to do that. As of today I have only received more advertising emails from Fanatics. Its a shame they can't send the product I ordered.An update, my order has just been delivered. Its two days late but has arrived.",2023-10-06,3,"Trust Pilot",NA
"Tim Gingrich","The automated bot response on here is a bunch of baloney. I was already communicating with then for 2 days before I wrote my review.  And I did respond as they requested.  And nothing. Total silence. All lies trying to look nice but they keep ignoring me.See the same response below everyone gets. But no real customer service",2023-09-27,1,"Trust Pilot",NA
"Shannon","My 60 th birthday was September 22nd. My son surprised me with a jalen.HURTS limited edition jerseys he ordered on September 18th because they bought me tickets to the game for October 8th. I'm supposed to be here the 25th it got delayed.  Than  again than they told me the fourth of October, and now they're telling me the 10th of October.I'm very sad It's my first game, at sofi stadium  Haven't ever seen my team play? Because I missed them 2 years ago when they where here, I was so excited. I couldn't wait to Represent my Eagles in a sea of Ram fans .I'm so disappointed.",2023-09-18,1,"Trust Pilot",NA
"Jimbo","Delivery was so late after expected that the event I wanted the shirt for would be missed. I ordered 2 weeks in advance expecting I would receivce my order within the week, but the day before I am due to fly out  then eventually I recveived a message to say it would be with me in another week. Spoeaking to customer services it looks like I will have to pay shipping again to return the now unwanted shirt. What a scam, avoid these people at all costs. Iordered for next day delivery from a proper online retailer and I am very pleased.",2023-09-30,1,"Trust Pilot",NA
"Nolween RAVEZ-HALLIER","Unfortunately, among the few website to sell authentic NFL jerseys in France, the site is a scam on its legs. tons of false promotions where the item appears at 50-60 euros and as soon as you add it to your basket it the item turns into 120 or 130 euros. delivery times are never respected and if you have benefited from a favorable price for your item, you will never see the color of it. my first 3 orders were canceled for a so-called problem but you return to the website and discover the same items much more expensive. these scammers should be banned from selling.",2023-09-19,1,"Trust Pilot",NA
"Jess","I ordered a Manchester United goalie kit for Christmas for my son, once I had ordered I seen the bad reviews and instantly thought the worst I emailed the company for an order number as I hadn’t received a order confirmation and they couldn’t do enough to help to me! Their customer service is next to none! I only ordered on Wednesday and by Saturday it was here, sizing is perfect the quality is amazing and I will most defiantly be ordering from here again! I couldn’t recommend them enough and the member of staff I spoke to if I remember correctly was called Shane!? So polite and couldn’t do enough to help me.",2023-09-15,5,"Trust Pilot",NA
"Paul Goldstein","This is what happens when you have a Monopoly on something. Extremely overpriced clothes with terribly poor quality. Those “sales” aren’t going to fool anyone. Had to return almost all the clothes I bought because of how terrible the quality was. Not even surprised knowing the background of their owner (✡️). Will NEVER buy anything related to fanatics again. Will rather buy a fake from China, at least that’ll have better quality for the price.",2023-10-06,1,"Trust Pilot",NA
"IC","Absolutely shocking! Tried to buy a rugby shirt, said Apple Pay failed, tried to buy it again and it turns out neither transaction failed and two payments were taken from my account. No confirmation email for either shirt. Unforgivable, money disappeared into thin air. Shocking.",2023-09-26,1,"Trust Pilot",NA
"M C","Terrible service, ordered jacket that fit about 2 sizes too small yet I had to pay £6 to return. Spoke to chat agent who did not help in any way. This is why Amazon will put you out of business. Never shopping here again, terrible CS.",2023-10-10,1,"Trust Pilot",NA
"Jessica LeTourneur","If I could give this company a negative review, I would. Placed an order on September 5 as a birthday gift for my son’s birthday on the 30th. On September 26 it still had not shipped, so I reached out to customer service and was told it would ship that day, and some sort of “ticket” would be created to sometime higher up in CS to reach out. Never head back and my order never shipped. Reached out to CS again on October 2, and it took 30 (!) minutes for sometime to respond on chat. Was PROMISED up and down my order would ship on October 3. Then on October 4 received an email that the order no longer has a ship date or estimated arrival. Now I have a disappointed ten-year-old who never received his gift. If I could get this item anywhere else, I would.",2023-10-05,1,"Trust Pilot",NA
"Theo Chen","I've contacted Fanatics 5 times about my canceled order. They keep promising to refund my gift card but a week later, NOTHING.TOO LITTLE, TOO LATE. It shouldn't take 5 CS agent chats, 6 days and a negative review to simply refund me.",2023-10-14,1,"Trust Pilot",NA
"Margo Wilson","I am deeply disappointed with Fanatics refund policy. I ordered some merch on September 15 I was charged on September 18. I called October 10 to inquiry where my merchandise is in the process. I had received half of my order. I am leaving for a trip in 4 days will be gone a month. I was bringing the jersey’s as gifts. I proceeded to cancel the rest of the  order which has not even left the wear house and was told I could not cancel. I am beyond frustrated no one will be here to get the order and I was never told when ordering that the merchandise was not available instead I was told it would be at my home within 10 days. I want my order cancelled and my money refunded. I am very sad to say I will not order again. And I order lots for gifts for my extended family over seas. It’s sad when I company does not listen to their customers. And it’s not the customer service people they are getting all the bad reviewers but it’s management. I worked in retail for years and guess what was the number 1 rule LISTEN TO YOUR CUSTOMER.",2023-10-10,1,"Trust Pilot",NA
"Dee","Had shipping issues with this company in the past, but this is the worst. I will never purchase from this company again… buyer beware. I placed an order on 9/28. Got an email a few days ago it was delayed. I contacted the company to cancel the order because I have to go out of town and will not be home at this point to receive the package because it’s taking so long. It has now been 12 days since I ordered and they are saying they cannot cancel due to “technical issues”. I don’t have anyone to pick up the package while I’m gone and ordered in plenty of time before I planned to leave. That isn’t my problem it’s their problem they didn’t warn customers they had a delay in shipping. The fact that I have to fight to cancel an order that hasn’t even been processed yet is insane. Until I saw other reviews, I finally also realized the quality of some of the items I have received in the past were garbage. I thought this was officially licensed clothing?? Regardless, they should be allowing cancellations for situations like this. It’s ridiculous, never again.",2023-09-20,1,"Trust Pilot",NA
"jems","I ordered only one shirt but they sent 2 and charged for 2.I’ve sent numerous emails & phone calls which they haven’t responded too. The online chat is none effective in fact it’s useless.Website says customer services manned 8am-8pm w/days - lie!Website says they will endeavour to reply to emails within 24hrs - lie!",2023-09-22,1,"Trust Pilot",NA
"Greg","I placed a qualifying wager 5 days ago and should have received a jersey voucher and fan cash. Received neither and contacting them is next to impossible by phone or chat. Zer resolution, terrible sport betting site!",2023-09-24,1,"Trust Pilot",NA
"Tommy Missig","First jersey I ordered got lost in mail. It was a 3xl browns jersey joe Thomas number 73. I get that it getting lost in mail might not be fanatics fault. They resend me the jersey and it comes a xl gardener jersey. Not even close to the same team numver or color. Absolutely rediculous then they offer to resend it again and give you a coupon for less then what the site offers to everyone on a daily basis as an ""im sorry"" what a joke.",2023-09-16,1,"Trust Pilot",NA
"Paddy","Utter terrible service. Wish I read reviews on here before placing an order!Ordered yesterday then discovered (wasn't notified) shipping was delayed. Contacted live chat ""Due to a slight warehouse delay we have added an additional day to this delivery timeframe, unfortunately we are unable to expedite this. This is due to a new system introduced in the warehouse""From reading previous reviews it's been a new system for months and it would probs not turn up. Now I have to wait a week for a refund. Shocking company. Will never use again.",2023-10-02,1,"Trust Pilot",NA
"Ryan","I ordered a shirt on September 9th with expedited 5 business days shipping. It is now October 2nd and still nothing. When I called they said they had no idea about my order and if or when I'll receive it. I check the order status a couple times a week and every time I check it gets pushed back a couple days. Yesterday it was Oct 6th, today it is now Oct 13th. If you don't have a product in stock DON'T allow people to purchase an item with expedited shipping! Unless that is you are knowingly just ripping people off.",2023-10-17,1,"Trust Pilot",NA
"Chris Sosa","Garbage paid for a hoodie and two day shipping was supposed to get there today and says it’s still in process got in contact with then and asked what’s going on they said that the warehouse assign to it was out of stock then why tf say it’s in stock what a joke",2023-09-27,1,"Trust Pilot",NA
"Nicole Doner","If I could give zero stars, I would. I ordered a pullover in a men's medium and when it arrived, it was barely a medium  - I don't know any men that are this small unless they are 14. When I called the customer service line, the poor person really had no answer. I told them if it doesn't ship in 2 days, I am canceling the order.",2023-09-19,1,"Trust Pilot",NA
"kate","i will never shop with this company again. my husband ordered a sweatshirt and it was ""redirected"" to a different city 9 hours the opposite direction of ours. when i contacted the ""customer service"" through the ""chat"" for a refund i was directed to higher up ""management"" that supposed to contact me which i believe to be a load of horse dookey! bunch of scammers. it was my husbands birthday. never. again.",2023-09-15,1,"Trust Pilot",NA
"Bianca Coleman","Horrible! Promised item to be delivered 3-7 days, which by the way I PAID for on top of paying for “handling”…it’s been over 11 days and my order hasn’t even shipped, yet it cannot be cancelled. Do NOT waste your money on this scam. The items are overpriced, as well as the excess in fees, for them to not deliver on what you paid for nor deliver on any effective quality customer service.",2023-10-03,1,"Trust Pilot",NA
"H Newcombe","I ordered in August with plenty time for birthdays on the 6 Sept, although it said 3/5 days shipping, then an email came saying problem as a delay a refund of postage and handling.  Then an email saying shipped by Evri, still nothing..tracking says Evri still waiting for parcel. What's going on seems like a scam to me, hope not as shirts weren't cheap...hoping for some response, but not holding my breath!  UPDATE Pleased to say my review prompted a response and refund was made, without argument, that evening to my PayPal. I suggest using the email address you find in Fanatics responses to reviews!!",2023-09-13,1,"Trust Pilot",NA
"Luis","What a nightmare. Please don't buy here, the worst customer service ever. They don't give you any answer and you are supposed to talk to an expert but always feels like you're talking to a bot. 3 days in a row and still don't have any answer about my order",2023-09-13,1,"Trust Pilot",NA
"Arlo Marti","I bought a football shirt off what i thought was the official manchester united store for a birthday present for a friend, but i was redirected to fanatics according to my bank account. I have no idea why that happened, and i am unable to track my order as the official website says i dont have an account, but my money is still gone. Where is my order!!! Bought on  the 31st of aug and still not arrived 2 weeks later.",2023-10-04,1,"Trust Pilot",NA
"Mark Henry","Previously had great experience with Fanatics but it’s all gone wrong. Ordered rugby shirts in readiness for the World Cup. Kids were exited to get their first Wales shirts. Order placed 12th August. Still waiting. Order # 193-5710-2411",2023-09-21,1,"Trust Pilot",NA
"CASEY JOHNSON","This company is shady. I PRE ORDERED a jersey, it was guarenteed to ship 3 separate dates. Eventually it never shipped, got a sorry, it's out of stock. How can a jersey be out of stock if I pre ordered it the day it came out? No compensation, no sincere apology. Not even an attempt.Edit: So I received a backhanded offer through email of 25% off another purchase...but this can't be used with other offers and it's exempt for the item I had pre ordered. So basically it's worthless to me. Fanatics just proves to me they don't care.",2023-09-09,1,"Trust Pilot",NA
